ObjectID,GlobalId,Name,Description,ObjectType,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m)
1116582,1MnGSJLobBi9WnUGJo5jGv,Basic Wall:_H-DW-1_12 cm:4981207:2,N/A,Opening,No material assigned,0.06,2.04,48.68,44.50
1117474,2xIBsDZlD0nhOoVKMUrUP5,Basic Wall:_H-DW-1_12 cm:4981286,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1117499,2xIBsDZlD0nhOoVKMUrUPA,Basic Wall:_H-DW-1_12 cm:4981286,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1119437,2xIBsDZlD0nhOoVKMUrUP3,Basic Wall:_H-DW-1_12 cm:4981510,N/A,Opening,No material assigned,0.69,6.85,46.00,45.25
1119462,2xIBsDZlD0nhOoVKMUrUP0,Basic Wall:_H-DW-1_12 cm:4981510,N/A,Opening,No material assigned,1.71,10.27,46.00,45.25
1120178,3pVL2AeODCDB9zQJFnqrWQ,Basic Wall:_WC_M1 - Marmol 1:4982307,N/A,Opening,No material assigned,0.65,11.92,46.67,44.50
1120203,25x9BPg1b27Rg41O6PoQ3Y,Basic Wall:_WC_M1 - Marmol 1:4982307,N/A,Opening,No material assigned,8.20,26.17,46.67,44.50
1120942,0FKmjAgOTD$9DTYabHJ3PB,Basic Wall:_WC_L3 - PVC TOILETS IMPATIENTS:4990115,N/A,Opening,No material assigned,5.43,21.58,42.11,40.00
1121377,0FKmjAgOTD$9DTYabHJ3Qw,Basic Wall:_WC_L3 - PVC TOILETS IMPATIENTS:4990119,N/A,Opening,No material assigned,5.43,21.58,42.11,40.00
1121899,1iwG70gXj23gw1kkhqivts,Basic Wall:_H-BW-1 + H-WL-1:4997362,N/A,Opening,No material assigned,7.01,24.72,19.80,17.50
1121924,1iwG70gXj23gw1kkhqivtt,Basic Wall:_H-BW-1 + H-WL-1:4997362,N/A,Opening,No material assigned,7.01,24.72,19.80,17.50
